epoch,global_step,layer,metric_type,value
1.0,268,roberta.embeddings.word_embeddings.weight,finetuned,30.153491352515495
1.0,268,roberta.embeddings.word_embeddings.weight,pretrained,30.15436378857599
1.0,268,roberta.embeddings.position_embeddings.weight,finetuned,2.383409904129419
1.0,268,roberta.embeddings.position_embeddings.weight,pretrained,2.3836201696294084
1.0,268,roberta.embeddings.token_type_embeddings.weight,finetuned,0.999992461684643
1.0,268,roberta.embeddings.token_type_embeddings.weight,pretrained,0.0
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,finetuned,58.91336477250265
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,pretrained,58.825370456433724
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,finetuned,47.22947549089329
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,pretrained,47.212807677599855
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,finetuned,83.93903756785785
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,pretrained,83.90166254645273
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,finetuned,19.301035013896588
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,pretrained,19.29615459267358
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,finetuned,16.15489131081948
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,pretrained,16.163324314972076
1.0,268,roberta.encoder.layer.0.output.dense.weight,finetuned,56.991915049041324
1.0,268,roberta.encoder.layer.0.output.dense.weight,pretrained,56.93936317144265
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,finetuned,21.350291147951957
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,pretrained,21.32180004173338
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,finetuned,43.770270945690875
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,pretrained,43.817690677020316
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,finetuned,63.53993871871735
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,pretrained,63.31278222149255
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,finetuned,41.786556820724776
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,pretrained,41.77824232098655
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,finetuned,13.981845020010626
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,pretrained,13.972647451557384
1.0,268,roberta.encoder.layer.1.output.dense.weight,finetuned,72.90748767675451
1.0,268,roberta.encoder.layer.1.output.dense.weight,pretrained,72.89597434020061
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,finetuned,19.01873442427193
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,pretrained,19.010690478810677
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,finetuned,52.91202726201015
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,pretrained,52.89701705230009
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,finetuned,51.182840405698315
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,pretrained,51.01874817896735
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,finetuned,57.84397606520965
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,pretrained,57.64778982695657
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,finetuned,15.931414171743684
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,pretrained,15.923589109740918
1.0,268,roberta.encoder.layer.2.output.dense.weight,finetuned,67.89801083364591
1.0,268,roberta.encoder.layer.2.output.dense.weight,pretrained,67.95659381911237
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,finetuned,17.98577373076979
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,pretrained,17.968776138123847
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,finetuned,62.013473592942155
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,pretrained,62.063085948015534
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,finetuned,33.806291570103475
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,pretrained,33.7855239082062
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,finetuned,65.03932949097806
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,pretrained,65.08672470031445
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,finetuned,17.75448581015607
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,pretrained,17.734813823590933
1.0,268,roberta.encoder.layer.3.output.dense.weight,finetuned,44.722421473531966
1.0,268,roberta.encoder.layer.3.output.dense.weight,pretrained,44.77127634180266
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,finetuned,18.971844893309765
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,pretrained,18.949218312014786
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,finetuned,61.19437506173012
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,pretrained,61.14186306801834
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,finetuned,42.751828304843585
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,pretrained,42.82315450065529
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,finetuned,64.02971468608021
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,pretrained,63.94555355514587
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,finetuned,17.40688734033719
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,pretrained,17.38067507501076
1.0,268,roberta.encoder.layer.4.output.dense.weight,finetuned,51.88882734864325
1.0,268,roberta.encoder.layer.4.output.dense.weight,pretrained,52.13374770298025
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,finetuned,15.873702386190992
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,pretrained,15.865529620205432
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,finetuned,67.8667243923186
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,pretrained,67.73062703953448
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,finetuned,79.75527515607253
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,pretrained,79.6610813027504
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,finetuned,52.3962802501916
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,pretrained,52.36534435199754
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,finetuned,21.84004874083489
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,pretrained,21.797910381725163
1.0,268,roberta.encoder.layer.5.output.dense.weight,finetuned,44.00565934924389
1.0,268,roberta.encoder.layer.5.output.dense.weight,pretrained,44.19481391143625
1.0,268,roberta.encoder.layer.6.attention.self.query.weight,finetuned,64.49076365763992
1.0,268,roberta.encoder.layer.6.attention.self.query.weight,pretrained,64.39687114114648
1.0,268,roberta.encoder.layer.6.attention.self.key.weight,finetuned,71.4310178148479
1.0,268,roberta.encoder.layer.6.attention.self.key.weight,pretrained,71.49663393416161
1.0,268,roberta.encoder.layer.6.attention.self.value.weight,finetuned,92.37618840758982
1.0,268,roberta.encoder.layer.6.attention.self.value.weight,pretrained,92.14763778681771
1.0,268,roberta.encoder.layer.6.attention.output.dense.weight,finetuned,27.923228544950693
1.0,268,roberta.encoder.layer.6.attention.output.dense.weight,pretrained,27.918858049193844
1.0,268,roberta.encoder.layer.6.intermediate.dense.weight,finetuned,16.890434135956106
1.0,268,roberta.encoder.layer.6.intermediate.dense.weight,pretrained,16.860098902987804
1.0,268,roberta.encoder.layer.6.output.dense.weight,finetuned,38.234043519964885
1.0,268,roberta.encoder.layer.6.output.dense.weight,pretrained,38.336801684720825
1.0,268,roberta.encoder.layer.7.attention.self.query.weight,finetuned,69.40462170155367
1.0,268,roberta.encoder.layer.7.attention.self.query.weight,pretrained,69.35308493599794
1.0,268,roberta.encoder.layer.7.attention.self.key.weight,finetuned,58.35706248093705
1.0,268,roberta.encoder.layer.7.attention.self.key.weight,pretrained,58.29139962659597
1.0,268,roberta.encoder.layer.7.attention.self.value.weight,finetuned,70.79975190558409
1.0,268,roberta.encoder.layer.7.attention.self.value.weight,pretrained,70.72959759590925
1.0,268,roberta.encoder.layer.7.attention.output.dense.weight,finetuned,42.453414569151406
1.0,268,roberta.encoder.layer.7.attention.output.dense.weight,pretrained,42.323092191434505
1.0,268,roberta.encoder.layer.7.intermediate.dense.weight,finetuned,19.827989225413393
1.0,268,roberta.encoder.layer.7.intermediate.dense.weight,pretrained,19.839658823110703
1.0,268,roberta.encoder.layer.7.output.dense.weight,finetuned,28.84643919190773
1.0,268,roberta.encoder.layer.7.output.dense.weight,pretrained,28.85789841919518
