epoch,global_step,layer,metric_type,value
1.0,268,roberta.embeddings.word_embeddings.weight,finetuned,30.152677037555556
1.0,268,roberta.embeddings.word_embeddings.weight,pretrained,30.15436378857599
1.0,268,roberta.embeddings.position_embeddings.weight,finetuned,2.383543966728472
1.0,268,roberta.embeddings.position_embeddings.weight,pretrained,2.3836201696294084
1.0,268,roberta.embeddings.token_type_embeddings.weight,finetuned,0.9998108738164165
1.0,268,roberta.embeddings.token_type_embeddings.weight,pretrained,0.0
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,finetuned,58.8143055690584
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,pretrained,58.825370456433724
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,finetuned,47.21198563984161
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,pretrained,47.212807677599855
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,finetuned,83.93161054278208
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,pretrained,83.90166254645273
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,finetuned,19.29344954229695
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,pretrained,19.29615459267358
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,finetuned,16.16927130731054
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,pretrained,16.163324314972076
1.0,268,roberta.encoder.layer.0.output.dense.weight,finetuned,56.93531912514132
1.0,268,roberta.encoder.layer.0.output.dense.weight,pretrained,56.93936317144265
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,finetuned,21.322731232522305
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,pretrained,21.32180004173338
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,finetuned,43.820828655433495
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,pretrained,43.817690677020316
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,finetuned,63.29479333444569
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,pretrained,63.31278222149255
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,finetuned,41.78674271847984
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,pretrained,41.77824232098655
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,finetuned,13.979338093268682
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,pretrained,13.972647451557384
1.0,268,roberta.encoder.layer.1.output.dense.weight,finetuned,72.86562898745638
1.0,268,roberta.encoder.layer.1.output.dense.weight,pretrained,72.89597434020061
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,finetuned,19.01643076249795
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,pretrained,19.010690478810677
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,finetuned,52.898226752885485
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,pretrained,52.89701705230009
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,finetuned,51.07725534661939
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,pretrained,51.01874817896735
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,finetuned,57.67343702531756
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,pretrained,57.64778982695657
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,finetuned,15.925949776585695
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,pretrained,15.923589109740918
1.0,268,roberta.encoder.layer.2.output.dense.weight,finetuned,67.97940084438845
1.0,268,roberta.encoder.layer.2.output.dense.weight,pretrained,67.95659381911237
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,finetuned,17.969524251905174
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,pretrained,17.968776138123847
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,finetuned,62.073114716997615
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,pretrained,62.063085948015534
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,finetuned,33.7829025136268
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,pretrained,33.7855239082062
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,finetuned,65.07111946331472
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,pretrained,65.08672470031445
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,finetuned,17.741108823146504
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,pretrained,17.734813823590933
1.0,268,roberta.encoder.layer.3.output.dense.weight,finetuned,44.7662007652267
1.0,268,roberta.encoder.layer.3.output.dense.weight,pretrained,44.77127634180266
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,finetuned,18.955396201009957
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,pretrained,18.949218312014786
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,finetuned,61.15412060945658
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,pretrained,61.14186306801834
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,finetuned,42.80818856726414
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,pretrained,42.82315450065529
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,finetuned,63.9557305246313
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,pretrained,63.94555355514587
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,finetuned,17.381096675358343
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,pretrained,17.38067507501076
1.0,268,roberta.encoder.layer.4.output.dense.weight,finetuned,52.129763467413234
1.0,268,roberta.encoder.layer.4.output.dense.weight,pretrained,52.13374770298025
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,finetuned,15.866425541625418
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,pretrained,15.865529620205432
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,finetuned,67.72110261166037
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,pretrained,67.73062703953448
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,finetuned,79.63436953043514
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,pretrained,79.6610813027504
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,finetuned,52.34778201048374
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,pretrained,52.36534435199754
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,finetuned,21.798438668396777
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,pretrained,21.797910381725163
1.0,268,roberta.encoder.layer.5.output.dense.weight,finetuned,44.21022598101881
1.0,268,roberta.encoder.layer.5.output.dense.weight,pretrained,44.19481391143625
1.0,268,roberta.encoder.layer.6.attention.self.query.weight,finetuned,64.39307458664551
1.0,268,roberta.encoder.layer.6.attention.self.query.weight,pretrained,64.39687114114648
1.0,268,roberta.encoder.layer.6.attention.self.key.weight,finetuned,71.4762452635547
1.0,268,roberta.encoder.layer.6.attention.self.key.weight,pretrained,71.49663393416161
1.0,268,roberta.encoder.layer.6.attention.self.value.weight,finetuned,92.24503373553966
1.0,268,roberta.encoder.layer.6.attention.self.value.weight,pretrained,92.14763778681771
1.0,268,roberta.encoder.layer.6.attention.output.dense.weight,finetuned,27.919570385676636
1.0,268,roberta.encoder.layer.6.attention.output.dense.weight,pretrained,27.918858049193844
1.0,268,roberta.encoder.layer.6.intermediate.dense.weight,finetuned,16.853116238235156
1.0,268,roberta.encoder.layer.6.intermediate.dense.weight,pretrained,16.860098902987804
1.0,268,roberta.encoder.layer.6.output.dense.weight,finetuned,38.350573436466874
1.0,268,roberta.encoder.layer.6.output.dense.weight,pretrained,38.336801684720825
1.0,268,roberta.encoder.layer.7.attention.self.query.weight,finetuned,69.3351914924462
1.0,268,roberta.encoder.layer.7.attention.self.query.weight,pretrained,69.35308493599794
1.0,268,roberta.encoder.layer.7.attention.self.key.weight,finetuned,58.29459234021041
1.0,268,roberta.encoder.layer.7.attention.self.key.weight,pretrained,58.29139962659597
1.0,268,roberta.encoder.layer.7.attention.self.value.weight,finetuned,70.66832661723569
1.0,268,roberta.encoder.layer.7.attention.self.value.weight,pretrained,70.72959759590925
