epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.82537045643373
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,2.370573230986768
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.7583361067405
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,5.986172116472145
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.2259675415313
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.443722598379112
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,84.01761400947713
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,5.408026715603177
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.305714916980087
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,5.081966946415441
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.17766044613967
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,2.334653368465707
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.931900653568775
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.3238129508248018
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.321029520422776
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.81769067702032
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,2.6844320007286355
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.87057350591149
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.2987618627994746
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.24941836868896
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,10.415080888846768
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.78279240258393
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.6524932841114035
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.978659663189967
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,72.89597434020061
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,3.417673600416985
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,72.88033362606849
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,19.01069047881068
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,1.6450015869479144
