epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,5.289401356721459
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.82112755896807
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,10.565829302806929
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.213542587910325
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.4023142951100125
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.8977607080876
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.8669158781699573
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.295792527114045
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.6597054186629028
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.164646028714607
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,3.52406876751928
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.93381391546075
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.2453269269229743
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.320816490432662
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,3.3004948679229074
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.82109447629927
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.3462210854572962
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.31674334908381
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.53190426615701
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.778346257430954
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.9154322471242555
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972753733817916
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,72.89597434020061
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,2.6128412213561
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,72.88750170820643
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,19.010690478810677
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,1.8149293762545389
