epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,2.5746619221268676
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.818425045049686
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,6.7404577041685
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.21409900965541
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.238333599172712
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.91723702734599
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,2.6511153496144213
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.296639685374966
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.3261287236580874
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.16652945870573
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,2.722761890592759
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.936740315361035
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.997480340633962
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.320911952727897
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,3.3524345275892276
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.80525206140941
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.197015369801467
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.31637077629938
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,2.6612720149158533
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.7813548701674
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.652626506222347
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.974387909419333
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,72.89597434020061
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,1.7078269801001922
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,72.88514950600181
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,19.010690478810677
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,1.4428192763647842
