epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,6.365273044200217
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.845603531932404
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,10.311028520066163
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.21555701134056
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.684564834548084
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.92854645097877
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,5.028623216504066
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.297007917211307
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,3.074956236044114
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.164930495523617
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.952381466780271
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.93070122107171
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.344647623753106
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.324434592644813
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,3.9225087204434024
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.85434593857593
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.425237902516747
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.30637887341055
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,5.729276068528937
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.77877362212219
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.4190659385195357
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.974980725098456
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,72.89597434020061
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,3.326472846126098
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,72.88511569113052
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,19.010690478810677
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,2.088933934720415
