epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,3.5960830020860106
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.75283713706704
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,6.34344991469912
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.251886470444106
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,4.85985964839439
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,84.24911671057703
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,8.443613675024254
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.3734639535745
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,5.335326737716111
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.19512618383237
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,8.030659225111911
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,57.01592123746116
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,3.360262312658105
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.335507397647966
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,4.514119419432205
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.92233517187597
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,2.0165612457948234
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.23594429158381
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,13.07246941966909
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,42.07419486257396
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,4.476469091589807
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,14.00301692693049
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,72.89597434020061
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,7.305485453057918
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,73.00330441937894
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,19.010690478810677
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,3.089737969203766
