epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,0.9999638235467774
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.824003567643025
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,0.9999638391372715
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.21162915319511
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,0.9999571131606582
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.90045704697977
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,0.9999736785665946
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.295748645044643
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,0.9998473384618732
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.163419305180078
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,0.9998457515642516
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.936582532885346
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,0.9999678095007075
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.321304498569116
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,0.9999587389288318
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.81730648751658
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,0.9999697841876485
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.31613026352075
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,0.9999732062408109
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.77816012086856
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,0.9998508600831331
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972822156131564
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,72.89597434020061
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,0.9998309133899423
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,72.89486196582394
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,19.010690478810677
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,0.9999591073713484
