epoch,global_step,layer,metric_type,value
1.0,268,roberta.embeddings.word_embeddings.weight,finetuned,2.8753231164180617
1.0,268,roberta.embeddings.word_embeddings.weight,pretrained,2.8762521464546524
1.0,268,roberta.embeddings.position_embeddings.weight,finetuned,1.794802135350357
1.0,268,roberta.embeddings.position_embeddings.weight,pretrained,1.794806501817938
1.0,268,roberta.embeddings.token_type_embeddings.weight,finetuned,0.9999876339601367
1.0,268,roberta.embeddings.token_type_embeddings.weight,pretrained,0.0
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,finetuned,65.23240795716883
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,pretrained,65.16850243294316
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,finetuned,130.94929021075194
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,pretrained,130.91481538106177
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,finetuned,88.39736020002468
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,pretrained,88.31941014198881
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,finetuned,5.920344001561475
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,pretrained,5.915947919238045
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,finetuned,7.20982549316339
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,pretrained,7.211772906074545
1.0,268,roberta.encoder.layer.0.output.dense.weight,finetuned,45.44354760448918
1.0,268,roberta.encoder.layer.0.output.dense.weight,pretrained,45.444507184256565
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,finetuned,49.83201020627684
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,pretrained,49.83982559284896
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,finetuned,36.60195408822211
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,pretrained,36.683594715722144
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,finetuned,100.87656616010034
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,pretrained,100.83349896198295
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,finetuned,14.791232501472807
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,pretrained,14.804032969892802
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,finetuned,10.791011593211442
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,pretrained,10.80473028402092
1.0,268,roberta.encoder.layer.1.output.dense.weight,finetuned,29.955569343688694
1.0,268,roberta.encoder.layer.1.output.dense.weight,pretrained,29.953815799001653
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,finetuned,49.815591633059086
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,pretrained,49.94102365282341
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,finetuned,56.32998643404418
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,pretrained,56.246165221169115
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,finetuned,53.29148502354792
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,pretrained,53.35955946695758
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,finetuned,14.229686808814076
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,pretrained,14.211729843144505
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,finetuned,14.155350809398726
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,pretrained,14.171262905121031
1.0,268,roberta.encoder.layer.2.output.dense.weight,finetuned,27.626243235639
1.0,268,roberta.encoder.layer.2.output.dense.weight,pretrained,27.617960006342027
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,finetuned,40.37446574819865
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,pretrained,40.38710324398324
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,finetuned,52.79957138750129
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,pretrained,52.78959322892153
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,finetuned,85.26946921904648
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,pretrained,85.08426624756609
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,finetuned,21.934257864614974
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,pretrained,21.91678510152632
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,finetuned,20.09178903104776
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,pretrained,20.110905845538312
1.0,268,roberta.encoder.layer.3.output.dense.weight,finetuned,25.976487784915953
1.0,268,roberta.encoder.layer.3.output.dense.weight,pretrained,25.971211357979648
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,finetuned,16.31998679567789
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,pretrained,16.316341559015992
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,finetuned,61.22980400442741
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,pretrained,61.19224054984023
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,finetuned,105.50803531838878
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,pretrained,105.4275948284823
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,finetuned,20.814914227584723
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,pretrained,20.803518310365877
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,finetuned,20.01472377415135
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,pretrained,20.02480060993551
1.0,268,roberta.encoder.layer.4.output.dense.weight,finetuned,29.73031407221429
1.0,268,roberta.encoder.layer.4.output.dense.weight,pretrained,29.728196317360545
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,finetuned,11.765343912274032
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,pretrained,11.762495176171988
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,finetuned,61.7270950464009
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,pretrained,61.699005373669515
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,finetuned,99.6738304612251
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,pretrained,99.56625816874656
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,finetuned,26.319749348869504
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,pretrained,26.298959057905314
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,finetuned,20.790423987936276
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,pretrained,20.785218764453894
1.0,268,roberta.encoder.layer.5.output.dense.weight,finetuned,35.24037563764801
1.0,268,roberta.encoder.layer.5.output.dense.weight,pretrained,35.247083242875256
