epoch,global_step,layer,metric_type,value
1.0,268,roberta.embeddings.word_embeddings.weight,finetuned,2.875284737385903
1.0,268,roberta.embeddings.word_embeddings.weight,pretrained,2.8762521464546524
1.0,268,roberta.embeddings.position_embeddings.weight,finetuned,1.7947923809183275
1.0,268,roberta.embeddings.position_embeddings.weight,pretrained,1.794806501817938
1.0,268,roberta.embeddings.token_type_embeddings.weight,finetuned,0.999890747776688
1.0,268,roberta.embeddings.token_type_embeddings.weight,pretrained,0.0
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,finetuned,65.15352940152472
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,pretrained,65.16850243294316
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,finetuned,131.07232028825825
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,pretrained,130.91481538106177
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,finetuned,88.30451767024631
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,pretrained,88.31941014198881
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,finetuned,5.915809375421582
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,pretrained,5.915947919238045
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,finetuned,7.212756230145681
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,pretrained,7.211772906074545
1.0,268,roberta.encoder.layer.0.output.dense.weight,finetuned,45.44213822453343
1.0,268,roberta.encoder.layer.0.output.dense.weight,pretrained,45.444507184256565
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,finetuned,49.843689539396145
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,pretrained,49.83982559284896
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,finetuned,36.71177109562309
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,pretrained,36.683594715722144
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,finetuned,100.87181482746708
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,pretrained,100.83349896198295
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,finetuned,14.804494891670197
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,pretrained,14.804032969892802
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,finetuned,10.802542412116832
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,pretrained,10.80473028402092
1.0,268,roberta.encoder.layer.1.output.dense.weight,finetuned,29.947317112609593
1.0,268,roberta.encoder.layer.1.output.dense.weight,pretrained,29.953815799001653
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,finetuned,49.90774116527331
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,pretrained,49.94102365282341
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,finetuned,56.24796681060483
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,pretrained,56.246165221169115
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,finetuned,53.35319678426642
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,pretrained,53.35955946695758
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,finetuned,14.211855679694304
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,pretrained,14.211729843144505
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,finetuned,14.166602691702817
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,pretrained,14.171262905121031
1.0,268,roberta.encoder.layer.2.output.dense.weight,finetuned,27.621239292163647
1.0,268,roberta.encoder.layer.2.output.dense.weight,pretrained,27.617960006342027
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,finetuned,40.38429932955568
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,pretrained,40.38710324398324
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,finetuned,52.7729871891862
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,pretrained,52.78959322892153
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,finetuned,85.09225180179173
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,pretrained,85.08426624756609
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,finetuned,21.915918993891484
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,pretrained,21.91678510152632
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,finetuned,20.107052679613467
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,pretrained,20.110905845538312
1.0,268,roberta.encoder.layer.3.output.dense.weight,finetuned,25.96299653737531
1.0,268,roberta.encoder.layer.3.output.dense.weight,pretrained,25.971211357979648
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,finetuned,16.315161187459324
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,pretrained,16.316341559015992
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,finetuned,61.19059922543967
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,pretrained,61.19224054984023
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,finetuned,105.35098698129906
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,pretrained,105.4275948284823
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,finetuned,20.802702519349083
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,pretrained,20.803518310365877
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,finetuned,20.017480891906434
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,pretrained,20.02480060993551
1.0,268,roberta.encoder.layer.4.output.dense.weight,finetuned,29.72875870469739
1.0,268,roberta.encoder.layer.4.output.dense.weight,pretrained,29.728196317360545
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,finetuned,11.762060434295885
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,pretrained,11.762495176171988
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,finetuned,61.706949407610715
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,pretrained,61.699005373669515
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,finetuned,99.54436064009106
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,pretrained,99.56625816874656
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,finetuned,26.295787200976257
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,pretrained,26.298959057905314
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,finetuned,20.776967359901608
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,pretrained,20.785218764453894
1.0,268,roberta.encoder.layer.5.output.dense.weight,finetuned,35.238654699965046
1.0,268,roberta.encoder.layer.5.output.dense.weight,pretrained,35.247083242875256
1.0,268,roberta.encoder.layer.6.attention.self.query.weight,finetuned,14.073912507761019
1.0,268,roberta.encoder.layer.6.attention.self.query.weight,pretrained,14.075301678596741
1.0,268,roberta.encoder.layer.6.attention.self.key.weight,finetuned,66.45349744965782
1.0,268,roberta.encoder.layer.6.attention.self.key.weight,pretrained,66.43951114473974
1.0,268,roberta.encoder.layer.6.attention.self.value.weight,finetuned,90.25747360018157
1.0,268,roberta.encoder.layer.6.attention.self.value.weight,pretrained,90.24191649634543
1.0,268,roberta.encoder.layer.6.attention.output.dense.weight,finetuned,29.94855841513293
1.0,268,roberta.encoder.layer.6.attention.output.dense.weight,pretrained,29.94873534068194
