epoch,global_step,layer,metric_type,value
1.0,268,roberta.embeddings.word_embeddings.weight,finetuned,2.8752654245207117
1.0,268,roberta.embeddings.word_embeddings.weight,pretrained,2.8762521464546524
1.0,268,roberta.embeddings.position_embeddings.weight,finetuned,1.7947720773532587
1.0,268,roberta.embeddings.position_embeddings.weight,pretrained,1.794806501817938
1.0,268,roberta.embeddings.token_type_embeddings.weight,finetuned,0.9994911755603273
1.0,268,roberta.embeddings.token_type_embeddings.weight,pretrained,0.0
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,finetuned,65.1547583763199
1.0,268,roberta.encoder.layer.0.attention.self.query.weight,pretrained,65.16850243294316
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,finetuned,130.9026613048007
1.0,268,roberta.encoder.layer.0.attention.self.key.weight,pretrained,130.91481538106177
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,finetuned,88.30863893963387
1.0,268,roberta.encoder.layer.0.attention.self.value.weight,pretrained,88.31941014198881
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,finetuned,5.915915196267325
1.0,268,roberta.encoder.layer.0.attention.output.dense.weight,pretrained,5.915947919238045
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,finetuned,7.211249533870883
1.0,268,roberta.encoder.layer.0.intermediate.dense.weight,pretrained,7.211772906074545
1.0,268,roberta.encoder.layer.0.output.dense.weight,finetuned,45.44159269976325
1.0,268,roberta.encoder.layer.0.output.dense.weight,pretrained,45.444507184256565
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,finetuned,49.841709219676076
1.0,268,roberta.encoder.layer.1.attention.self.query.weight,pretrained,49.83982559284896
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,finetuned,36.6925504475794
1.0,268,roberta.encoder.layer.1.attention.self.key.weight,pretrained,36.683594715722144
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,finetuned,100.83397071530976
1.0,268,roberta.encoder.layer.1.attention.self.value.weight,pretrained,100.83349896198295
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,finetuned,14.805245951037827
1.0,268,roberta.encoder.layer.1.attention.output.dense.weight,pretrained,14.804032969892802
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,finetuned,10.803723185834864
1.0,268,roberta.encoder.layer.1.intermediate.dense.weight,pretrained,10.80473028402092
1.0,268,roberta.encoder.layer.1.output.dense.weight,finetuned,29.953932272075825
1.0,268,roberta.encoder.layer.1.output.dense.weight,pretrained,29.953815799001653
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,finetuned,49.934268795033454
1.0,268,roberta.encoder.layer.2.attention.self.query.weight,pretrained,49.94102365282341
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,finetuned,56.24525195555607
1.0,268,roberta.encoder.layer.2.attention.self.key.weight,pretrained,56.246165221169115
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,finetuned,53.34831054798987
1.0,268,roberta.encoder.layer.2.attention.self.value.weight,pretrained,53.35955946695758
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,finetuned,14.21207461212356
1.0,268,roberta.encoder.layer.2.attention.output.dense.weight,pretrained,14.211729843144505
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,finetuned,14.171720045285742
1.0,268,roberta.encoder.layer.2.intermediate.dense.weight,pretrained,14.171262905121031
1.0,268,roberta.encoder.layer.2.output.dense.weight,finetuned,27.61782339963704
1.0,268,roberta.encoder.layer.2.output.dense.weight,pretrained,27.617960006342027
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,finetuned,40.390917839018854
1.0,268,roberta.encoder.layer.3.attention.self.query.weight,pretrained,40.38710324398324
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,finetuned,52.77123129321284
1.0,268,roberta.encoder.layer.3.attention.self.key.weight,pretrained,52.78959322892153
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,finetuned,85.03980724124715
1.0,268,roberta.encoder.layer.3.attention.self.value.weight,pretrained,85.08426624756609
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,finetuned,21.918542520189018
1.0,268,roberta.encoder.layer.3.attention.output.dense.weight,pretrained,21.91678510152632
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,finetuned,20.110563036198208
1.0,268,roberta.encoder.layer.3.intermediate.dense.weight,pretrained,20.110905845538312
1.0,268,roberta.encoder.layer.3.output.dense.weight,finetuned,25.96912517480167
1.0,268,roberta.encoder.layer.3.output.dense.weight,pretrained,25.971211357979648
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,finetuned,16.314916611581573
1.0,268,roberta.encoder.layer.4.attention.self.query.weight,pretrained,16.316341559015992
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,finetuned,61.199149878693156
1.0,268,roberta.encoder.layer.4.attention.self.key.weight,pretrained,61.19224054984023
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,finetuned,105.40367713320924
1.0,268,roberta.encoder.layer.4.attention.self.value.weight,pretrained,105.4275948284823
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,finetuned,20.80281290766695
1.0,268,roberta.encoder.layer.4.attention.output.dense.weight,pretrained,20.803518310365877
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,finetuned,20.01751424196266
1.0,268,roberta.encoder.layer.4.intermediate.dense.weight,pretrained,20.02480060993551
1.0,268,roberta.encoder.layer.4.output.dense.weight,finetuned,29.725761824313103
1.0,268,roberta.encoder.layer.4.output.dense.weight,pretrained,29.728196317360545
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,finetuned,11.761173136366423
1.0,268,roberta.encoder.layer.5.attention.self.query.weight,pretrained,11.762495176171988
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,finetuned,61.70008277794614
1.0,268,roberta.encoder.layer.5.attention.self.key.weight,pretrained,61.699005373669515
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,finetuned,99.51284521969832
1.0,268,roberta.encoder.layer.5.attention.self.value.weight,pretrained,99.56625816874656
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,finetuned,26.30061372941601
1.0,268,roberta.encoder.layer.5.attention.output.dense.weight,pretrained,26.298959057905314
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,finetuned,20.780029506716406
1.0,268,roberta.encoder.layer.5.intermediate.dense.weight,pretrained,20.785218764453894
1.0,268,roberta.encoder.layer.5.output.dense.weight,finetuned,35.24293528490797
1.0,268,roberta.encoder.layer.5.output.dense.weight,pretrained,35.247083242875256
1.0,268,roberta.encoder.layer.6.attention.self.query.weight,finetuned,14.075723455796515
1.0,268,roberta.encoder.layer.6.attention.self.query.weight,pretrained,14.075301678596741
1.0,268,roberta.encoder.layer.6.attention.self.key.weight,finetuned,66.42889257958942
1.0,268,roberta.encoder.layer.6.attention.self.key.weight,pretrained,66.43951114473974
1.0,268,roberta.encoder.layer.6.attention.self.value.weight,finetuned,90.22969839866703
1.0,268,roberta.encoder.layer.6.attention.self.value.weight,pretrained,90.24191649634543
1.0,268,roberta.encoder.layer.6.attention.output.dense.weight,finetuned,29.94460733534233
1.0,268,roberta.encoder.layer.6.attention.output.dense.weight,pretrained,29.94873534068194
1.0,268,roberta.encoder.layer.6.intermediate.dense.weight,finetuned,22.031312582497748
1.0,268,roberta.encoder.layer.6.intermediate.dense.weight,pretrained,22.03994696544542
1.0,268,roberta.encoder.layer.6.output.dense.weight,finetuned,32.14728427381516
1.0,268,roberta.encoder.layer.6.output.dense.weight,pretrained,32.14799086383212
1.0,268,roberta.encoder.layer.7.attention.self.query.weight,finetuned,14.659127042435303
1.0,268,roberta.encoder.layer.7.attention.self.query.weight,pretrained,14.658838567416794
1.0,268,roberta.encoder.layer.7.attention.self.key.weight,finetuned,70.98871185267052
1.0,268,roberta.encoder.layer.7.attention.self.key.weight,pretrained,70.99344042385209
1.0,268,roberta.encoder.layer.7.attention.self.value.weight,finetuned,77.89679337845585
1.0,268,roberta.encoder.layer.7.attention.self.value.weight,pretrained,77.89752183447247
1.0,268,roberta.encoder.layer.7.attention.output.dense.weight,finetuned,26.25731147054124
1.0,268,roberta.encoder.layer.7.attention.output.dense.weight,pretrained,26.25258171912584
1.0,268,roberta.encoder.layer.7.intermediate.dense.weight,finetuned,21.17788210388658
1.0,268,roberta.encoder.layer.7.intermediate.dense.weight,pretrained,21.184176643360725
1.0,268,roberta.encoder.layer.7.output.dense.weight,finetuned,30.771159090281746
1.0,268,roberta.encoder.layer.7.output.dense.weight,pretrained,30.771296447145282
1.0,268,roberta.encoder.layer.8.attention.self.query.weight,finetuned,19.553900596969644
1.0,268,roberta.encoder.layer.8.attention.self.query.weight,pretrained,19.554995123435056
1.0,268,roberta.encoder.layer.8.attention.self.key.weight,finetuned,72.46736991641298
1.0,268,roberta.encoder.layer.8.attention.self.key.weight,pretrained,72.46252770643032
1.0,268,roberta.encoder.layer.8.attention.self.value.weight,finetuned,68.25414651507356
1.0,268,roberta.encoder.layer.8.attention.self.value.weight,pretrained,68.24090761427492
1.0,268,roberta.encoder.layer.8.attention.output.dense.weight,finetuned,25.213339294671712
1.0,268,roberta.encoder.layer.8.attention.output.dense.weight,pretrained,25.215026114384766
1.0,268,roberta.encoder.layer.8.intermediate.dense.weight,finetuned,22.948039993652607
1.0,268,roberta.encoder.layer.8.intermediate.dense.weight,pretrained,22.94873607984339
1.0,268,roberta.encoder.layer.8.output.dense.weight,finetuned,33.198002528058495
1.0,268,roberta.encoder.layer.8.output.dense.weight,pretrained,33.20090685709213
1.0,268,roberta.encoder.layer.9.attention.self.query.weight,finetuned,14.073555476982913
1.0,268,roberta.encoder.layer.9.attention.self.query.weight,pretrained,14.074112128999012
1.0,268,roberta.encoder.layer.9.attention.self.key.weight,finetuned,82.22367948316439
1.0,268,roberta.encoder.layer.9.attention.self.key.weight,pretrained,82.21456241058715
1.0,268,roberta.encoder.layer.9.attention.self.value.weight,finetuned,94.14392736480931
1.0,268,roberta.encoder.layer.9.attention.self.value.weight,pretrained,94.15371923486272
1.0,268,roberta.encoder.layer.9.attention.output.dense.weight,finetuned,27.161966113030875
1.0,268,roberta.encoder.layer.9.attention.output.dense.weight,pretrained,27.16329966608273
1.0,268,roberta.encoder.layer.9.intermediate.dense.weight,finetuned,22.87016195932564
1.0,268,roberta.encoder.layer.9.intermediate.dense.weight,pretrained,22.8722040849843
1.0,268,roberta.encoder.layer.9.output.dense.weight,finetuned,31.28946999992104
1.0,268,roberta.encoder.layer.9.output.dense.weight,pretrained,31.291706379686776
1.0,268,roberta.encoder.layer.10.attention.self.query.weight,finetuned,43.93991557146013
1.0,268,roberta.encoder.layer.10.attention.self.query.weight,pretrained,43.93787210542925
1.0,268,roberta.encoder.layer.10.attention.self.key.weight,finetuned,84.34469691403787
1.0,268,roberta.encoder.layer.10.attention.self.key.weight,pretrained,84.34775663528752
1.0,268,roberta.encoder.layer.10.attention.self.value.weight,finetuned,95.83185069589916
1.0,268,roberta.encoder.layer.10.attention.self.value.weight,pretrained,95.82444154352557
1.0,268,roberta.encoder.layer.10.attention.output.dense.weight,finetuned,25.413383550245104
1.0,268,roberta.encoder.layer.10.attention.output.dense.weight,pretrained,25.41130698429029
1.0,268,roberta.encoder.layer.10.intermediate.dense.weight,finetuned,23.60699238232516
1.0,268,roberta.encoder.layer.10.intermediate.dense.weight,pretrained,23.61416247632014
1.0,268,roberta.encoder.layer.10.output.dense.weight,finetuned,28.481386148309355
1.0,268,roberta.encoder.layer.10.output.dense.weight,pretrained,28.482765434223122
1.0,268,roberta.encoder.layer.11.attention.self.query.weight,finetuned,42.71058329522739
1.0,268,roberta.encoder.layer.11.attention.self.query.weight,pretrained,42.711296516148266
1.0,268,roberta.encoder.layer.11.attention.self.key.weight,finetuned,89.41095987656054
1.0,268,roberta.encoder.layer.11.attention.self.key.weight,pretrained,89.36574388593367
1.0,268,roberta.encoder.layer.11.attention.self.value.weight,finetuned,91.11697379669414
1.0,268,roberta.encoder.layer.11.attention.self.value.weight,pretrained,91.12228329898201
1.0,268,roberta.encoder.layer.11.attention.output.dense.weight,finetuned,23.71186634910256
1.0,268,roberta.encoder.layer.11.attention.output.dense.weight,pretrained,23.711106828708598
1.0,268,roberta.encoder.layer.11.intermediate.dense.weight,finetuned,23.917472300969383
1.0,268,roberta.encoder.layer.11.intermediate.dense.weight,pretrained,23.921582739751972
1.0,268,roberta.encoder.layer.11.output.dense.weight,finetuned,32.252913678470776
1.0,268,roberta.encoder.layer.11.output.dense.weight,pretrained,32.25425665985377
1.0,268,roberta.encoder.layer.12.attention.self.query.weight,finetuned,19.80004143857993
1.0,268,roberta.encoder.layer.12.attention.self.query.weight,pretrained,19.80133963517949
1.0,268,roberta.encoder.layer.12.attention.self.key.weight,finetuned,59.513826731924
1.0,268,roberta.encoder.layer.12.attention.self.key.weight,pretrained,59.51423417589006
1.0,268,roberta.encoder.layer.12.attention.self.value.weight,finetuned,104.57418533498827
1.0,268,roberta.encoder.layer.12.attention.self.value.weight,pretrained,104.55182735098823
1.0,268,roberta.encoder.layer.12.attention.output.dense.weight,finetuned,31.69632311014692
1.0,268,roberta.encoder.layer.12.attention.output.dense.weight,pretrained,31.68961963951198
1.0,268,roberta.encoder.layer.12.intermediate.dense.weight,finetuned,23.302456866733007
1.0,268,roberta.encoder.layer.12.intermediate.dense.weight,pretrained,23.306472149343517
1.0,268,roberta.encoder.layer.12.output.dense.weight,finetuned,33.73401655491923
1.0,268,roberta.encoder.layer.12.output.dense.weight,pretrained,33.73366981573814
1.0,268,roberta.encoder.layer.13.attention.self.query.weight,finetuned,19.42320163537194
1.0,268,roberta.encoder.layer.13.attention.self.query.weight,pretrained,19.42719294240054
1.0,268,roberta.encoder.layer.13.attention.self.key.weight,finetuned,89.35384562658345
1.0,268,roberta.encoder.layer.13.attention.self.key.weight,pretrained,89.34542298597442
1.0,268,roberta.encoder.layer.13.attention.self.value.weight,finetuned,104.0057871676851
1.0,268,roberta.encoder.layer.13.attention.self.value.weight,pretrained,103.98533663905238
1.0,268,roberta.encoder.layer.13.attention.output.dense.weight,finetuned,31.936694935765164
1.0,268,roberta.encoder.layer.13.attention.output.dense.weight,pretrained,31.930869183442315
1.0,268,roberta.encoder.layer.13.intermediate.dense.weight,finetuned,21.488363201459002
1.0,268,roberta.encoder.layer.13.intermediate.dense.weight,pretrained,21.4924861033959
1.0,268,roberta.encoder.layer.13.output.dense.weight,finetuned,38.45665253380114
1.0,268,roberta.encoder.layer.13.output.dense.weight,pretrained,38.45666001020537
1.0,268,roberta.encoder.layer.14.attention.self.query.weight,finetuned,14.949941103748065
1.0,268,roberta.encoder.layer.14.attention.self.query.weight,pretrained,14.950092836443968
1.0,268,roberta.encoder.layer.14.attention.self.key.weight,finetuned,69.64940089069381
1.0,268,roberta.encoder.layer.14.attention.self.key.weight,pretrained,69.63970689456136
1.0,268,roberta.encoder.layer.14.attention.self.value.weight,finetuned,105.90410384241012
1.0,268,roberta.encoder.layer.14.attention.self.value.weight,pretrained,105.91215913275136
1.0,268,roberta.encoder.layer.14.attention.output.dense.weight,finetuned,34.18766704874896
1.0,268,roberta.encoder.layer.14.attention.output.dense.weight,pretrained,34.19242653847588
1.0,268,roberta.encoder.layer.14.intermediate.dense.weight,finetuned,20.789831935141887
1.0,268,roberta.encoder.layer.14.intermediate.dense.weight,pretrained,20.798387110600416
1.0,268,roberta.encoder.layer.14.output.dense.weight,finetuned,20.651720428360257
1.0,268,roberta.encoder.layer.14.output.dense.weight,pretrained,20.652845573172012
1.0,268,roberta.encoder.layer.15.attention.self.query.weight,finetuned,31.91932931551138
1.0,268,roberta.encoder.layer.15.attention.self.query.weight,pretrained,31.91981094559281
1.0,268,roberta.encoder.layer.15.attention.self.key.weight,finetuned,79.49882416817611
1.0,268,roberta.encoder.layer.15.attention.self.key.weight,pretrained,79.51391215956669
1.0,268,roberta.encoder.layer.15.attention.self.value.weight,finetuned,104.41522134864209
1.0,268,roberta.encoder.layer.15.attention.self.value.weight,pretrained,104.47581356199453
1.0,268,roberta.encoder.layer.15.attention.output.dense.weight,finetuned,15.275622201689657
1.0,268,roberta.encoder.layer.15.attention.output.dense.weight,pretrained,15.276684828215696
1.0,268,roberta.encoder.layer.15.intermediate.dense.weight,finetuned,25.348047469346696
1.0,268,roberta.encoder.layer.15.intermediate.dense.weight,pretrained,25.351985666495665
1.0,268,roberta.encoder.layer.15.output.dense.weight,finetuned,18.278254846471132
1.0,268,roberta.encoder.layer.15.output.dense.weight,pretrained,18.276873411306507
1.0,268,roberta.encoder.layer.16.attention.self.query.weight,finetuned,78.92900984031638
1.0,268,roberta.encoder.layer.16.attention.self.query.weight,pretrained,78.90741647514638
1.0,268,roberta.encoder.layer.16.attention.self.key.weight,finetuned,87.57691368022158
1.0,268,roberta.encoder.layer.16.attention.self.key.weight,pretrained,87.61963184012855
1.0,268,roberta.encoder.layer.16.attention.self.value.weight,finetuned,97.02691252153787
1.0,268,roberta.encoder.layer.16.attention.self.value.weight,pretrained,97.07574430485145
1.0,268,roberta.encoder.layer.16.attention.output.dense.weight,finetuned,14.660725643785101
1.0,268,roberta.encoder.layer.16.attention.output.dense.weight,pretrained,14.660626448700963
1.0,268,roberta.encoder.layer.16.intermediate.dense.weight,finetuned,31.37102319413327
1.0,268,roberta.encoder.layer.16.intermediate.dense.weight,pretrained,31.375570204423624
1.0,268,roberta.encoder.layer.16.output.dense.weight,finetuned,17.0291634892177
1.0,268,roberta.encoder.layer.16.output.dense.weight,pretrained,17.030436723646925
1.0,268,roberta.encoder.layer.17.attention.self.query.weight,finetuned,70.2041936385309
1.0,268,roberta.encoder.layer.17.attention.self.query.weight,pretrained,70.1967671110762
1.0,268,roberta.encoder.layer.17.attention.self.key.weight,finetuned,76.20476209050423
1.0,268,roberta.encoder.layer.17.attention.self.key.weight,pretrained,76.19706060450874
1.0,268,roberta.encoder.layer.17.attention.self.value.weight,finetuned,118.53244553834652
1.0,268,roberta.encoder.layer.17.attention.self.value.weight,pretrained,118.53882569591501
1.0,268,roberta.encoder.layer.17.attention.output.dense.weight,finetuned,19.101278781839188
1.0,268,roberta.encoder.layer.17.attention.output.dense.weight,pretrained,19.10130545413139
1.0,268,roberta.encoder.layer.17.intermediate.dense.weight,finetuned,33.28232343663087
1.0,268,roberta.encoder.layer.17.intermediate.dense.weight,pretrained,33.29412874555674
1.0,268,roberta.encoder.layer.17.output.dense.weight,finetuned,22.111724603055716
1.0,268,roberta.encoder.layer.17.output.dense.weight,pretrained,22.110656474802994
1.0,268,roberta.encoder.layer.18.attention.self.query.weight,finetuned,73.4165942498298
1.0,268,roberta.encoder.layer.18.attention.self.query.weight,pretrained,73.4326767419924
1.0,268,roberta.encoder.layer.18.attention.self.key.weight,finetuned,80.3688738622303
1.0,268,roberta.encoder.layer.18.attention.self.key.weight,pretrained,80.37733857175729
1.0,268,roberta.encoder.layer.18.attention.self.value.weight,finetuned,113.07834903904931
1.0,268,roberta.encoder.layer.18.attention.self.value.weight,pretrained,113.07689369586087
1.0,268,roberta.encoder.layer.18.attention.output.dense.weight,finetuned,18.0289523892267
1.0,268,roberta.encoder.layer.18.attention.output.dense.weight,pretrained,18.028766680307434
1.0,268,roberta.encoder.layer.18.intermediate.dense.weight,finetuned,32.671593255130645
1.0,268,roberta.encoder.layer.18.intermediate.dense.weight,pretrained,32.6844872681259
1.0,268,roberta.encoder.layer.18.output.dense.weight,finetuned,21.43090245269591
1.0,268,roberta.encoder.layer.18.output.dense.weight,pretrained,21.433488387626884
1.0,268,roberta.encoder.layer.19.attention.self.query.weight,finetuned,92.6398419173071
1.0,268,roberta.encoder.layer.19.attention.self.query.weight,pretrained,92.59084682443176
1.0,268,roberta.encoder.layer.19.attention.self.key.weight,finetuned,70.02004085305657
1.0,268,roberta.encoder.layer.19.attention.self.key.weight,pretrained,70.02834221049284
1.0,268,roberta.encoder.layer.19.attention.self.value.weight,finetuned,156.71947285358783
1.0,268,roberta.encoder.layer.19.attention.self.value.weight,pretrained,156.64708687234096
1.0,268,roberta.encoder.layer.19.attention.output.dense.weight,finetuned,17.495026501176905
1.0,268,roberta.encoder.layer.19.attention.output.dense.weight,pretrained,17.494144024820685
1.0,268,roberta.encoder.layer.19.intermediate.dense.weight,finetuned,28.916677130021675
1.0,268,roberta.encoder.layer.19.intermediate.dense.weight,pretrained,28.92210384099705
1.0,268,roberta.encoder.layer.19.output.dense.weight,finetuned,19.71846210295276
1.0,268,roberta.encoder.layer.19.output.dense.weight,pretrained,19.716475538939285
1.0,268,roberta.encoder.layer.20.attention.self.query.weight,finetuned,77.20402295376535
