epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,8.663580181985346
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.16586776485697
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,6.464389295837322
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.91681175025576
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.9393013562200108
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.33908851569585
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,4.776846892232786
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.915759426291006
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,3.0054300792600483
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.21169765801295
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,5.224378756500467
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.4439932831063
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.872470100263035
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.83536253504062
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,4.586737865485879
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.65706597274898
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.6488308922287331
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.83934627495191
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.683161207020981
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.804164117554777
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.4406691594839773
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.804723868073419
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,4.3729684649505245
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.95310193012278
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
