epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,9.02291802160792
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.18026250490001
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,8.10664412475155
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.9994104197113
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,6.338913628343651
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.37308294533761
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,9.298311618417607
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.915788719547517
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,3.1731509186600455
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.21209023743292
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,5.470527985726684
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.4482233531552
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.939423810709141
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.83598415087901
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,4.9747036321178335
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.599045830985226
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.7883692467984735
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.84979826596725
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,6.947763309615058
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.804761831873924
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.790937942468966
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.804196758515847
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,5.282861907355039
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.953444859116477
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
