epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,1.514553389680284
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.27361251120628
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,1.9631459965966065
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.90015370537532
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,1.3558883693208825
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.47999930140963
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,1.5162032368276972
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.923743555428787
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,1.1295498244161413
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.2176634491419165
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,1.5102627743619748
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.468285869025365
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.3870322858729456
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.91694753170624
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,1.3172101216821717
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.31777750491889
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,2.111589320521373
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,101.01741098532175
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,2.643039570718244
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.835066767427005
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.5732908229691707
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.799504839219217
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,1.1036565306481265
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.984309839616664
