epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,6.351468181012289
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.31816977126846
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,5.164644672192155
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,131.02852025165123
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.449332666569814
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.33735954333501
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.22243605088695
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.923745762794936
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.94617154486875
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.211128387777649
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.121212812537268
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.45180609842834
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.87831311532077
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.92758035967617
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,4.184475577027691
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.66414438743555
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.556444326768741
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.85413690647466
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.005947035853469
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.81923373066636
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.5219818607990887
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.793266277424637
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,3.667581554817416
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.959787255865468
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
