epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,7.8318770024638695
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.14632282562131
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,6.504234222437989
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.95380745544924
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,4.010929368095665
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.34557472339873
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,5.1684110018715845
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.917075129680917
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.9400805543001733
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.213557150158925
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.385413226192103
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.44723737058166
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.947502831189524
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.841275793222735
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,4.363130122804324
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.70130207225858
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.6487680394159276
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.83212700010445
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.3774263265025475
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.806047135602816
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.5870129230216703
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.806628186306503
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,5.443465659151994
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.953587357096783
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
