epoch,global_step,layer,metric_type,value
1.0,268,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,268,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,268,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,5.484841052340696
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,26.278641190948285
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,4.023652936101208
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,15.904542460294628
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,1.7929291006882284
1.0,268,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,5.534781709236086
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.731570824161089
1.0,268,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,7.942302497644007
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,1.8628316988389513
1.0,268,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.76334945683754
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.185282906230317
1.0,268,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,46.6270161773924
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.237164446397271
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,16.149179835248084
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,3.0932004637618653
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,23.203150749721907
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.2470956210713167
1.0,268,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,3.06756679267307
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,3.482164687044197
1.0,268,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,11.075492702661592
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.6827193931838642
1.0,268,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.845523334830887
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,3.318655904450057
1.0,268,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,30.921991335781303
1.0,268,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
