epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,0.9998989636740233
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.82457713975688
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,0.9998953472404062
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.21232100262415
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,0.9999039164658887
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.8990529172713
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,0.9999120838938419
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.29593941075264
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,0.9998371177748139
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.162967046526358
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,0.9997395114313052
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.93878267356735
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,0.9998936984607245
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.321553420204015
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,0.9999006858658238
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.81721359872077
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,0.9999087350559649
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.31127190038985
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,0.9999161620400588
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.7776524889593
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,0.9998291554242803
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972415343705
