epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,2.4052840074016917
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.82612025327877
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,6.3748199728091235
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.214602066591475
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.0470920345493475
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.9096156739174
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.4183150679694485
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.297275952662577
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.3050098182935725
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.163696892792064
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,5.090132597082823
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.93811660890538
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.5996151848691829
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.321462088899494
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,3.7578392171253414
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.815734060140336
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.5210716239456894
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.31708690821723
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.435168951627547
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.77901817266339
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.7667064066255036
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972041025632395
