epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,1.227196038818823
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.80686718163144
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,2.054855287897686
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.21148963920136
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,1.48777435317259
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.9096282715336
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,1.2721943534354716
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.29545261280387
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,1.728564058733507
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.167928251880802
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,1.1138097095512267
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.92343942243853
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.6664465280371294
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.32024277931476
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,2.1964596291980683
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.82046381849511
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.039007135296832
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.314877679420526
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,1.3762988652823964
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.78161477239454
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.039648103390577
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972504635727136
