epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,4.927987233557452
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.82758341142491
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,8.512792468646364
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.21184051800371
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.434875255255391
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.90033928830148
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.693707681603524
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.29573885829861
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.5846447983671585
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.163297121474542
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.77139312449218
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.937842610255075
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.138618539395313
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.32137293221415
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,4.673354676734701
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.818135212093765
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.4121475017343135
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.31302085945345
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,3.9944885186515333
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.77726787559197
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.9436615415628078
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972383681971401
