epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,3.1161318390784207
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.825343158325275
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,5.90176363925275
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.21270462186694
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.4651927670343317
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.89917507731903
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.563812102541368
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.29594951180848
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.0528423701657794
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.16310095452873
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.164595480975589
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.938923095859295
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.269696730137174
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.32140124769905
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,3.8807384473195565
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.81718513595155
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.4489050643528412
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.311481243353434
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,3.009538019867059
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.77840355316184
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.7807368935604648
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.97238615344724
