epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,3.242457336571476
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.81802070271335
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,7.209272440318885
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.220555566912644
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.178722181679975
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.90838397395
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,4.535088955289647
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.295680634952152
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.409945400859435
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.163198806836483
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,6.122798099923262
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.937243276939064
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.1301082858506812
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.320930075203435
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,5.058920553124799
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.82089768971796
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.3082748126020942
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.311685040002864
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,3.772316299599179
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.78348142254999
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.0927939904806734
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972749408268179
