epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,3.1401498502973397
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.84984643154866
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,7.172087694592564
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.21841584711848
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.1708717614244577
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.90018486278575
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.8683991745630864
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.301085781380444
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.2326101911868945
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.15915615838273
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.562328384011522
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.94441843214996
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.7564623620919093
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.32333303507475
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,4.956071535322484
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.79326964952342
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.2640795080342206
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.256633962317764
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.203342910969338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.77867821235272
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.943159847378508
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.970429134912335
