epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,3.929676055447218
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.82377007290112
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,6.571164329474163
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.213407276040684
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.692517347943111
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.90629256013534
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.1806640379373765
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.29594481929828
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,1.7611516194194248
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.163293559911523
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,3.7386424742804647
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.939274397338544
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.8613152452440056
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.32068128388221
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,3.4479875349836453
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.8177458273318
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.5072439274872387
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.31643888566805
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,3.576533872750755
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.779054353325655
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.8789700892923071
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972895812028886
