epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,3.4793395141198493
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.84357430914326
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,4.713017385470033
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.561562503073006
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,1.5131836419287312
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,18.517952807221548
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,2.195191707281312
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,20.517646086140964
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.0262250601541
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.46080759926867
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.111566433941257
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,57.40860741376873
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.9092754499817404
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.52962696699494
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,3.7605897878020325
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.60488218283469
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.2736531585811082
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,21.951727252744444
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,2.8537446733736953
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,38.39744929921865
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.7224752002180275
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,14.208931848196075
