epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,2.7142297926169983
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.823827100315626
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,6.358271742363733
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.234483779202144
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.6320208567493504
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.88340476275835
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.723778416454806
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.2967304079987
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.145651136041657
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.162951287374447
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,5.887447617949189
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.94964111594064
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.9880630938391994
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.31674323186669
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,4.602508917506653
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.81052278034426
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.4870439902601933
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.31105844676942
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,2.9779158712070046
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.786883247230854
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.7525303324196684
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.972181687454302
