epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,30.15436378857599
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,2.3836201696294084
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,58.825370456433724
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,3.476726425653899
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,58.86683678086809
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,47.212807677599855
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,7.839731151427916
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,47.171868117410376
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,83.90166254645273
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.614209416907766
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,83.95916377565787
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,19.29615459267358
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,4.431371084187342
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,19.301377778431345
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,16.163324314972076
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.346767210400434
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,16.149997557564966
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,56.93936317144265
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.501872091511937
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,56.94404919089994
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,21.32180004173338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.7250838715727852
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,21.310780794667853
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,43.817690677020316
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,5.499445664766761
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,43.869108422558874
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,63.31278222149255
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.4021157089334342
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,63.34440646432667
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,41.77824232098655
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,3.3995323175880485
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,41.79175763838867
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,13.972647451557384
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.6453082184549794
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,13.964839871414167
