epoch,global_step,layer,metric_type,value
1.0,78,roberta.embeddings.word_embeddings.weight,finetuned,2.8753801641588903
1.0,78,roberta.embeddings.word_embeddings.weight,pretrained,2.8762521464546524
1.0,78,roberta.embeddings.position_embeddings.weight,finetuned,1.7947775476868717
1.0,78,roberta.embeddings.position_embeddings.weight,pretrained,1.794806501817938
1.0,78,roberta.embeddings.token_type_embeddings.weight,finetuned,0.9998729481824951
1.0,78,roberta.embeddings.token_type_embeddings.weight,pretrained,0.0
1.0,78,roberta.encoder.layer.0.attention.self.query.weight,finetuned,65.18889645910674
1.0,78,roberta.encoder.layer.0.attention.self.query.weight,pretrained,65.16850243294316
1.0,78,roberta.encoder.layer.0.attention.self.key.weight,finetuned,130.8939221914729
1.0,78,roberta.encoder.layer.0.attention.self.key.weight,pretrained,130.91481538106177
1.0,78,roberta.encoder.layer.0.attention.self.value.weight,finetuned,88.33387337228248
1.0,78,roberta.encoder.layer.0.attention.self.value.weight,pretrained,88.31941014198881
1.0,78,roberta.encoder.layer.0.attention.output.dense.weight,finetuned,5.916002096391781
1.0,78,roberta.encoder.layer.0.attention.output.dense.weight,pretrained,5.915947919238045
1.0,78,roberta.encoder.layer.0.intermediate.dense.weight,finetuned,7.212478792026794
1.0,78,roberta.encoder.layer.0.intermediate.dense.weight,pretrained,7.211772906074545
1.0,78,roberta.encoder.layer.0.output.dense.weight,finetuned,45.44409564671748
1.0,78,roberta.encoder.layer.0.output.dense.weight,pretrained,45.444507184256565
1.0,78,roberta.encoder.layer.1.attention.self.query.weight,finetuned,49.84695562231693
1.0,78,roberta.encoder.layer.1.attention.self.query.weight,pretrained,49.83982559284896
1.0,78,roberta.encoder.layer.1.attention.self.key.weight,finetuned,36.65467828224848
1.0,78,roberta.encoder.layer.1.attention.self.key.weight,pretrained,36.683594715722144
1.0,78,roberta.encoder.layer.1.attention.self.value.weight,finetuned,100.83005546334762
1.0,78,roberta.encoder.layer.1.attention.self.value.weight,pretrained,100.83349896198295
1.0,78,roberta.encoder.layer.1.attention.output.dense.weight,finetuned,14.80142064258681
1.0,78,roberta.encoder.layer.1.attention.output.dense.weight,pretrained,14.804032969892802
1.0,78,roberta.encoder.layer.1.intermediate.dense.weight,finetuned,10.806085971490118
1.0,78,roberta.encoder.layer.1.intermediate.dense.weight,pretrained,10.80473028402092
1.0,78,roberta.encoder.layer.1.output.dense.weight,finetuned,29.955525978913197
1.0,78,roberta.encoder.layer.1.output.dense.weight,pretrained,29.953815799001653
1.0,78,roberta.encoder.layer.2.attention.self.query.weight,finetuned,49.943334081124924
1.0,78,roberta.encoder.layer.2.attention.self.query.weight,pretrained,49.94102365282341
1.0,78,roberta.encoder.layer.2.attention.self.key.weight,finetuned,56.253795342104034
1.0,78,roberta.encoder.layer.2.attention.self.key.weight,pretrained,56.246165221169115
1.0,78,roberta.encoder.layer.2.attention.self.value.weight,finetuned,53.351158209934155
1.0,78,roberta.encoder.layer.2.attention.self.value.weight,pretrained,53.35955946695758
1.0,78,roberta.encoder.layer.2.attention.output.dense.weight,finetuned,14.212434009183974
1.0,78,roberta.encoder.layer.2.attention.output.dense.weight,pretrained,14.211729843144505
1.0,78,roberta.encoder.layer.2.intermediate.dense.weight,finetuned,14.169304255192685
1.0,78,roberta.encoder.layer.2.intermediate.dense.weight,pretrained,14.171262905121031
1.0,78,roberta.encoder.layer.2.output.dense.weight,finetuned,27.610687210955213
1.0,78,roberta.encoder.layer.2.output.dense.weight,pretrained,27.617960006342027
1.0,78,roberta.encoder.layer.3.attention.self.query.weight,finetuned,40.38825884550798
1.0,78,roberta.encoder.layer.3.attention.self.query.weight,pretrained,40.38710324398324
1.0,78,roberta.encoder.layer.3.attention.self.key.weight,finetuned,52.812261797084865
1.0,78,roberta.encoder.layer.3.attention.self.key.weight,pretrained,52.78959322892153
1.0,78,roberta.encoder.layer.3.attention.self.value.weight,finetuned,85.14235002602643
1.0,78,roberta.encoder.layer.3.attention.self.value.weight,pretrained,85.08426624756609
1.0,78,roberta.encoder.layer.3.attention.output.dense.weight,finetuned,21.914071153520414
1.0,78,roberta.encoder.layer.3.attention.output.dense.weight,pretrained,21.91678510152632
1.0,78,roberta.encoder.layer.3.intermediate.dense.weight,finetuned,20.125621473662687
1.0,78,roberta.encoder.layer.3.intermediate.dense.weight,pretrained,20.110905845538312
1.0,78,roberta.encoder.layer.3.output.dense.weight,finetuned,25.975090470577264
1.0,78,roberta.encoder.layer.3.output.dense.weight,pretrained,25.971211357979648
1.0,78,roberta.encoder.layer.4.attention.self.query.weight,finetuned,16.314660596433257
1.0,78,roberta.encoder.layer.4.attention.self.query.weight,pretrained,16.316341559015992
1.0,78,roberta.encoder.layer.4.attention.self.key.weight,finetuned,61.231210894387885
1.0,78,roberta.encoder.layer.4.attention.self.key.weight,pretrained,61.19224054984023
1.0,78,roberta.encoder.layer.4.attention.self.value.weight,finetuned,105.49906093221064
1.0,78,roberta.encoder.layer.4.attention.self.value.weight,pretrained,105.4275948284823
1.0,78,roberta.encoder.layer.4.attention.output.dense.weight,finetuned,20.803307758431338
1.0,78,roberta.encoder.layer.4.attention.output.dense.weight,pretrained,20.803518310365877
1.0,78,roberta.encoder.layer.4.intermediate.dense.weight,finetuned,20.05397778768947
1.0,78,roberta.encoder.layer.4.intermediate.dense.weight,pretrained,20.02480060993551
1.0,78,roberta.encoder.layer.4.output.dense.weight,finetuned,29.73837830978179
1.0,78,roberta.encoder.layer.4.output.dense.weight,pretrained,29.728196317360545
1.0,78,roberta.encoder.layer.5.attention.self.query.weight,finetuned,11.762375705434982
1.0,78,roberta.encoder.layer.5.attention.self.query.weight,pretrained,11.762495176171988
1.0,78,roberta.encoder.layer.5.attention.self.key.weight,finetuned,61.663718510266754
1.0,78,roberta.encoder.layer.5.attention.self.key.weight,pretrained,61.699005373669515
1.0,78,roberta.encoder.layer.5.attention.self.value.weight,finetuned,99.56511005966249
1.0,78,roberta.encoder.layer.5.attention.self.value.weight,pretrained,99.56625816874656
1.0,78,roberta.encoder.layer.5.attention.output.dense.weight,finetuned,26.294785734077923
1.0,78,roberta.encoder.layer.5.attention.output.dense.weight,pretrained,26.298959057905314
1.0,78,roberta.encoder.layer.5.intermediate.dense.weight,finetuned,20.785030343223273
1.0,78,roberta.encoder.layer.5.intermediate.dense.weight,pretrained,20.785218764453894
1.0,78,roberta.encoder.layer.5.output.dense.weight,finetuned,35.258990447464654
1.0,78,roberta.encoder.layer.5.output.dense.weight,pretrained,35.247083242875256
1.0,78,roberta.encoder.layer.6.attention.self.query.weight,finetuned,14.079058134497078
1.0,78,roberta.encoder.layer.6.attention.self.query.weight,pretrained,14.075301678596741
1.0,78,roberta.encoder.layer.6.attention.self.key.weight,finetuned,66.41361000648993
1.0,78,roberta.encoder.layer.6.attention.self.key.weight,pretrained,66.43951114473974
1.0,78,roberta.encoder.layer.6.attention.self.value.weight,finetuned,90.21891808628747
1.0,78,roberta.encoder.layer.6.attention.self.value.weight,pretrained,90.24191649634543
1.0,78,roberta.encoder.layer.6.attention.output.dense.weight,finetuned,29.954253832616857
1.0,78,roberta.encoder.layer.6.attention.output.dense.weight,pretrained,29.94873534068194
1.0,78,roberta.encoder.layer.6.intermediate.dense.weight,finetuned,22.055649326093658
