epoch,global_step,layer,metric_type,value
1.0,10,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,10,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,10,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,4.460572097879481
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.16842271760501
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,10.178804682428098
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.90795671320762
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.2731719447352243
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.32131340089008
1.0,10,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,10,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,2.749945813075519
1.0,10,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.915778467716304
1.0,10,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,10,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.654415934814572
1.0,10,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.211349946207493
1.0,10,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,10,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.412888660684456
1.0,10,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.44315262626303
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,1.9331222089293327
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.839898489268585
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,5.062968393202175
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.695462369543456
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
