epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,5.534859844524901
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.16901961604655
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,5.044561289390772
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.89396333432322
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,3.9676273163699096
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.33103658940766
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.729239235837975
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.916212984099259
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,4.215142442684957
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.210935982347556
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,5.84019738036706
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.44317937110732
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,3.549183448226751
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.83112212167727
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,5.15212898786828
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.691897443031024
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.9362349461380735
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.82295116017329
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,3.267991646554976
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.80413584796527
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.097779397488312
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.803906556039289
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,5.398017081211253
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.953869414683304
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,1.9712738936096328
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,effective,49.94152993499973
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,base,56.246165221169115
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,delta,3.56378028017354
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,effective,56.2480554226187
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,base,53.35955946695758
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,delta,1.8115088214604191
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,effective,53.361509977923156
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,base,14.211729843144505
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,delta,4.160561738738363
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,effective,14.212827826464759
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,base,14.171262905121031
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,delta,2.047807591050642
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,effective,14.170709472288879
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,base,27.617960006342027
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,delta,3.473957846116984
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,effective,27.617031572379748
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,base,40.38710324398324
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,delta,2.2421434143791568
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,effective,40.39407711106534
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,base,52.78959322892153
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,delta,3.356156471775708
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,effective,52.782874098440246
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,base,85.08426624756609
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,delta,1.2335527540501834
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,effective,85.06973567016152
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,base,21.91678510152632
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,delta,4.806716739914001
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,effective,21.91728512562433
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,base,20.110905845538312
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,delta,2.034956745962313
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,effective,20.109620806153952
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,base,25.971211357979648
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,delta,3.786580582389996
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,effective,25.970246458990747
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,base,16.316341559015992
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,delta,1.6771802193326415
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,effective,16.317659520861245
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,base,61.19224054984023
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,delta,5.3905326203522534
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,effective,61.18148889293084
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,base,105.4275948284823
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,delta,1.2535025173648773
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,effective,105.42769128228012
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,base,20.803518310365877
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,delta,3.400594592918102
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,effective,20.80315291931946
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,base,20.02480060993551
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,delta,1.9241430590381063
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,effective,20.024690697774396
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,base,29.728196317360545
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,delta,2.719917765334531
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,effective,29.727440129549727
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,base,11.762495176171988
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,delta,1.8275497721430367
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,effective,11.763012360580415
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,base,61.699005373669515
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,delta,6.088484795830284
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,effective,61.70802533604929
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.value.weight,base,99.56625816874656
