epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,4.11307643635299
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.15862467860175
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,9.873040908254064
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.92433573868345
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.2494908201323973
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.31370417035717
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.9022680306317774
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.915899645127161
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,3.2886678153703444
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.211676160144138
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,4.99858445286328
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.4431173469996
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.3904796147456246
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.836979242434346
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,5.097011370760972
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.69325744416338
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.7964826484030498
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.82152219886672
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.474138360509167
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.803704488063437
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.183719121052354
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.80464154725601
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,3.630294963347618
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.95318857843009
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,1.891474101082992
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,effective,49.93735514569517
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,base,56.24616522116912
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,delta,2.245837123578265
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,effective,56.24727345903589
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,base,53.35955946695758
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,delta,1.4530009977050076
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,effective,53.36248583964028
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,base,14.211729843144504
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,delta,4.612823276169304
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,effective,14.211675455272363
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,base,14.171262905121033
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,delta,2.555950575583864
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,effective,14.1712804025667
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,base,27.617960006342027
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,delta,3.9726279089289696
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,effective,27.617366056436182
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,base,40.38710324398324
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,delta,2.125020283132521
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,effective,40.384802767874326
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,base,52.78959322892153
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,delta,3.664602772381088
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,effective,52.790477623566325
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,base,85.08426624756609
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,delta,1.3711421337421437
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,effective,85.07803779804202
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,base,21.91678510152632
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,delta,5.207374777308219
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,effective,21.916643930544865
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,base,20.110905845538312
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,delta,1.9509161439112053
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,effective,20.1114248685824
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,base,25.971211357979648
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,delta,5.208213250068122
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,effective,25.969970928609765
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,base,16.316341559015992
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,delta,1.7692328402771584
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,effective,16.315576838775325
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,base,61.19224054984023
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,delta,5.761016239504224
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,effective,61.19065486365029
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,base,105.4275948284823
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,delta,1.1736537166888192
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,effective,105.43513397603172
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,base,20.80351831036588
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,delta,4.373169821823613
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,effective,20.803054990011265
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,base,20.02480060993551
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,delta,1.688492309116913
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,effective,20.023287937645925
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,base,29.728196317360545
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,delta,3.31431864276711
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,effective,29.727360164274945
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,base,11.762495176171988
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,delta,1.4447708993480737
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,effective,11.76193401803513
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,base,61.69900537366952
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,delta,3.950757604000204
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,effective,61.68715543527669
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.value.weight,base,99.56625816874656
