epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,7.437535488817637
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.16951786839783
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,13.450711079640174
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.9129441538823
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.6333685473072803
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.32183679404991
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,4.995688693122552
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.915766377687382
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,3.081596720922566
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.211616051225073
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,5.001374645262392
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.44306241119205
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.75979562016778
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.83720739549608
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,6.176830674894898
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.68782380237588
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.6637383015035947
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.83782247344259
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.34026928261725
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.803722417420921
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.411203874991607
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.80462113370813
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,6.079038713440462
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.953113260172675
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,2.109587691598928
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,effective,49.93970709512079
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,base,56.246165221169115
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,delta,3.0438041490836594
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,effective,56.24204320928642
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,base,53.35955946695758
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,delta,1.5240420299749275
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,effective,53.35599143052501
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,base,14.211729843144505
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,delta,3.447325625563735
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,effective,14.211267552367019
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,base,14.171262905121031
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,delta,2.650602915580266
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,effective,14.17118852931461
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,base,27.617960006342027
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,delta,5.246499476789065
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,effective,27.617289710914232
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,base,40.38710324398324
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,delta,2.4308405549532575
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,effective,40.387277192576
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,base,52.78959322892153
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,delta,3.666301572617992
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,effective,52.787819367155414
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,base,85.08426624756609
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,delta,1.5903894409842374
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,effective,85.08131553149765
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,base,21.91678510152632
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,delta,3.601325390167345
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,effective,21.91698996186346
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,base,20.110905845538312
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,delta,2.005706607313375
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,effective,20.11052064304584
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,base,25.971211357979648
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,delta,6.306491621572213
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,effective,25.970817104233337
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,base,16.316341559015992
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,delta,1.9896075356326544
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,effective,16.315949661720772
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,base,61.19224054984023
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,delta,6.075891579984968
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,effective,61.187937150134225
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,base,105.4275948284823
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,delta,1.2457510799105538
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,effective,105.42901442502846
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,base,20.803518310365877
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,delta,5.099877780333408
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,effective,20.803132008626203
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,base,20.02480060993551
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,delta,1.8098375716322257
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,effective,20.02433742153253
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,base,29.728196317360545
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,delta,4.894218064043411
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,effective,29.727654677515254
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,base,11.762495176171988
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,delta,1.549810042000369
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,effective,11.762507887696927
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,base,61.699005373669515
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,delta,5.131352685653782
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,effective,61.69863709957965
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.value.weight,base,99.56625816874656
