epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,8.150372998767867
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,10.259375714448753
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,11.951671262888857
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,14.42279809393517
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.7417443426336305
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,3.2713762402610773
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.403260853388394
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,3.8757575367056716
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.2675723212826897
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,3.409042295069118
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,7.069996561503322
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,27.29953138393
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.7348709890867786
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,4.1025000212475495
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,6.2702947137724685
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,9.31228099718437
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.515336160264951
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,1.7763103221742096
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.45073687619395
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,5.09058304812218
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,1.8556716497519974
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,3.044406211558846
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,3.582431015285296
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,10.817573868635414
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,3.085934361381911
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,effective,4.858431466886614
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,base,56.246165221169115
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,delta,3.463538008580499
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,effective,5.133870677349834
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,base,53.35955946695758
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,delta,1.2497157069629365
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,effective,1.3642036022186512
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,base,14.211729843144505
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,delta,4.881761044360796
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,effective,5.32088626636214
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,base,14.171262905121031
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,delta,1.4351802735808312
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,effective,1.9187179499222717
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,base,27.617960006342027
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,delta,2.5558254274958845
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,effective,6.276572339167397
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,base,40.38710324398324
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,delta,1.6791227289301789
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,effective,2.2423332534673497
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,base,52.78959322892153
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,delta,2.9264231643486585
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,effective,3.8708368238100213
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,base,85.08426624756609
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,delta,1.2937119969688808
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,effective,1.484461845597276
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,base,21.91678510152632
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,delta,3.5943638933911326
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,effective,3.9877485979648495
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,base,20.110905845538312
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,delta,1.3477248873987138
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,effective,1.6559733768309801
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,base,25.971211357979648
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,delta,3.4791056360557278
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,effective,7.546571226835753
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,base,16.316341559015992
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,delta,1.2078365558908866
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,effective,1.3389543906908967
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,base,61.19224054984023
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,delta,4.556225619818813
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,effective,5.674148199538631
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,base,105.4275948284823
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,delta,1.0463005429647636
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,effective,1.0929289025396072
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,base,20.803518310365877
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,delta,4.543564454121295
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,effective,5.220284634026114
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,base,20.02480060993551
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,delta,1.192749766049773
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,effective,1.3740484449414865
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,base,29.728196317360545
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,delta,2.957297259725557
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,effective,6.438821548259065
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,base,11.762495176171988
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,delta,1.2199339543888355
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,effective,1.3780439881112478
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,base,61.699005373669515
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,delta,3.2937423771073164
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,effective,4.043437214484504
