epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,9.888148770845106
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.19642537037734
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,8.771180442013565
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.94011910523565
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.75205152642181
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.35739386721566
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,4.945528175501747
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.916199402600262
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,3.557667950406776
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.211914776634989
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,6.740602470645398
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.44319662668265
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,3.0797025723855858
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.837821582317396
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,6.915453247720331
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.66657892590927
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.7085416479902105
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.8498564635203
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,4.706015080007978
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.8025171358942
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.3009321822639635
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.805297959506122
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,6.360991347219868
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.952474773689264
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,2.253519884012015
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,effective,49.935152713899306
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,base,56.246165221169115
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,delta,3.4100565159314655
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,effective,56.24796104898957
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,base,53.35955946695758
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,delta,1.496826910106961
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,effective,53.364235151311426
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,base,14.211729843144505
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,delta,4.532269194808931
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,effective,14.21200841478667
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,base,14.171262905121031
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,delta,2.3090921582851673
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,effective,14.171740867478732
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,base,27.617960006342027
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,delta,5.465905352381951
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,effective,27.617030034913768
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,base,40.38710324398324
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,delta,2.1117330480730954
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,effective,40.38955969738928
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,base,52.78959322892153
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,delta,4.1567686931819425
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,effective,52.793673010358305
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,base,85.08426624756609
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,delta,1.5704692347258862
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,effective,85.11174895303068
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,base,21.91678510152632
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,delta,4.344528035956855
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,effective,21.917897858748137
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,base,20.110905845538312
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,delta,2.2014528416471797
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,effective,20.112774816299556
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,base,25.971211357979648
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,delta,7.8220659981834855
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,effective,25.971312404920454
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,base,16.316341559015992
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,delta,1.9178430459397884
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,effective,16.319440865777217
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,base,61.19224054984023
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,delta,8.217344759085556
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,effective,61.20750491378443
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,base,105.4275948284823
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,delta,1.3761402792787238
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,effective,105.43624893844463
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,base,20.803518310365877
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,delta,3.9075087946808122
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,effective,20.804434333811514
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,base,20.02480060993551
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,delta,1.901764528324203
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,effective,20.02652878075607
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,base,29.728196317360545
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,delta,5.70187962259663
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,effective,29.729263130682487
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,base,11.762495176171988
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,delta,1.9232445285454314
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,effective,11.76431205387747
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,base,61.699005373669515
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,delta,5.331034013352715
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,effective,61.6938401793052
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.value.weight,base,99.56625816874656
