epoch,global_step,layer,metric_type,value
1.0,78,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,78,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,78,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,9.963213752912726
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.14012888200678
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,12.66178602194727
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.92628780496898
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.5296492696417205
1.0,78,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.36486821305762
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,4.85033099180736
1.0,78,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.916272974417355
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,3.229664624492308
1.0,78,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.2119359764230095
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,6.745236803040158
1.0,78,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.435562316605214
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.742076229121239
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.85935604853557
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,7.425280836057319
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.56447134272844
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,delta,1.7156602494243107
1.0,78,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,effective,100.82021288467318
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,base,14.804032969892802
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,delta,5.124082704306176
1.0,78,base_model.model.roberta.encoder.layer.1.attention.output.dense.weight,effective,14.808630715179234
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,base,10.80473028402092
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,delta,2.403997497808064
1.0,78,base_model.model.roberta.encoder.layer.1.intermediate.dense.weight,effective,10.808159299434914
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,base,29.953815799001653
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,delta,3.9115684774866852
1.0,78,base_model.model.roberta.encoder.layer.1.output.dense.weight,effective,29.957085654535106
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,base,49.94102365282341
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,delta,1.8985594096803395
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.query.weight,effective,49.92126938145024
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,base,56.246165221169115
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,delta,2.1473590860142475
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.key.weight,effective,56.2821508226194
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,base,53.35955946695758
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,delta,1.4379046609562667
1.0,78,base_model.model.roberta.encoder.layer.2.attention.self.value.weight,effective,53.37533705302896
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,base,14.211729843144505
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,delta,5.4128360207169814
1.0,78,base_model.model.roberta.encoder.layer.2.attention.output.dense.weight,effective,14.221345955479185
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,base,14.171262905121031
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,delta,2.737998455096353
1.0,78,base_model.model.roberta.encoder.layer.2.intermediate.dense.weight,effective,14.173496022281139
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,base,27.617960006342027
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,delta,3.525058924430785
1.0,78,base_model.model.roberta.encoder.layer.2.output.dense.weight,effective,27.61842470119849
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,base,40.38710324398324
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,delta,2.1851167751486904
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.query.weight,effective,40.38018940102598
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,base,52.78959322892153
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,delta,3.1963936238400614
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.key.weight,effective,52.80628222013043
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,base,85.08426624756609
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,delta,1.3900268835478695
1.0,78,base_model.model.roberta.encoder.layer.3.attention.self.value.weight,effective,85.04132274579685
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,base,21.91678510152632
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,delta,4.362649764917819
1.0,78,base_model.model.roberta.encoder.layer.3.attention.output.dense.weight,effective,21.921771401969323
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,base,20.110905845538312
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,delta,2.082381289912448
1.0,78,base_model.model.roberta.encoder.layer.3.intermediate.dense.weight,effective,20.11905401018253
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,base,25.971211357979648
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,delta,4.901132542094493
1.0,78,base_model.model.roberta.encoder.layer.3.output.dense.weight,effective,25.973681366657452
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,base,16.316341559015992
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,delta,1.9084334308961755
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.query.weight,effective,16.317153215113542
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,base,61.19224054984023
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,delta,5.690205863293974
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.key.weight,effective,61.21788754880694
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,base,105.4275948284823
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,delta,1.326765236283333
1.0,78,base_model.model.roberta.encoder.layer.4.attention.self.value.weight,effective,105.48638741113773
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,base,20.803518310365877
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,delta,3.740885608587214
1.0,78,base_model.model.roberta.encoder.layer.4.attention.output.dense.weight,effective,20.80276561057608
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,base,20.02480060993551
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,delta,2.021746233915423
1.0,78,base_model.model.roberta.encoder.layer.4.intermediate.dense.weight,effective,20.025742647315525
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,base,29.728196317360545
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,delta,4.174828592038181
1.0,78,base_model.model.roberta.encoder.layer.4.output.dense.weight,effective,29.731589846047545
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,base,11.762495176171988
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,delta,2.1242535151880757
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.query.weight,effective,11.763680828084413
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,base,61.699005373669515
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,delta,5.13663267984802
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.key.weight,effective,61.71620553538689
1.0,78,base_model.model.roberta.encoder.layer.5.attention.self.value.weight,base,99.56625816874656
